,prj_name,duong,xa,huyen,tinh,ref_xa_code,ref_huyen_code,ref_tinh_code,area,pn,price,source,unit_price
5683,sai-gon-gateway,duong-xa-lo-ha-noi,phuong-hiep-phu,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772601,772629,180175,66.0,2,2200000000.0,bds,33333333.333333332
5685,chung-cu-b4-b14-kim-lien,duong-pham-ngoc-thach,phuong-kim-lien,quan-dong-da,thanh-pho-ha-noi,195316,149387,148873,155.0,4,8000000000.0,bds,51612903.22580645
5687,khu-do-thi-moi-cau-giay,duong-tran-thai-tong,phuong-dich-vong-hau,quan-cau-giay,thanh-pho-ha-noi,195295,149252,148873,120.0,3,4500000000.0,bds,37500000.0
5689,hong-kong-tower,nan,phuong-lang-thuong,quan-dong-da,thanh-pho-ha-noi,195302,149387,148873,126.0,3,7200000000.0,bds,57142857.14285714
5691,bcons-city,duong-thong-nhat,phuong-dong-hoa,thanh-pho-di-an,tinh-binh-duong,728778,728081,345944,55.0,2,1600000000.0,bds,29090909.09090909
5693,chung-cu-m3-m4-nguyen-chi-thanh,duong-nguyen-chi-thanh,phuong-lang-ha,quan-dong-da,thanh-pho-ha-noi,195306,149387,148873,155.0,2,5650000000.0,bds,36451612.90322581
5694,chung-cu-ct6-constrexim,duong-duong-dinh-nghe,phuong-yen-hoa,quan-cau-giay,thanh-pho-ha-noi,195297,149252,148873,102.0,3,3700000000.0,bds,36274509.803921565
5697,hanhomes-blue-star,duong-vo-trung-thanh,thi-tran-trau-quy,huyen-gia-lam,thanh-pho-ha-noi,151490,151480,148873,67.3,2,1600000000.0,bds,23774145.6166419
5698,carillon-7,duong-luong-minh-nguyet,phuong-tan-thoi-hoa,quan-tan-phu,thanh-pho-ho-chi-minh,195553,184080,180175,87.0,2,3950000000.0,bds,45402298.85057471
5699,masteri-west-heights,nan,phuong-tay-mo,quan-nam-tu-liem,thanh-pho-ha-noi,195374,150671,148873,70.0,2,4260000000.0,bds,60857142.85714286
5701,brg-diamond-residence,duong-le-van-luong,phuong-nhan-chinh,quan-thanh-xuan,thanh-pho-ha-noi,195354,150965,148873,107.0,3,5800000000.0,bds,54205607.476635516
5702,khu-can-ho-tan-mai,duong-quoc-lo-1a,phuong-tan-tao,quan-binh-tan,thanh-pho-ho-chi-minh,195685,184894,180175,50.0,1,1380000000.0,bds,27600000.0
5703,golden-land,duong-nguyen-trai,phuong-thanh-xuan-trung,quan-thanh-xuan,thanh-pho-ha-noi,195358,150965,148873,115.0,3,4300000000.0,bds,37391304.347826086
5707,khu-can-ho-tan-mai,duong-quoc-lo-1a,phuong-tan-tao,quan-binh-tan,thanh-pho-ho-chi-minh,195685,184894,180175,50.0,2,1160000000.0,bds,23200000.0
5708,hoang-huy-grand-tower,duong-so-dau,phuong-so-dau,quan-hong-bang,thanh-pho-hai-phong,195764,152793,152792,66.39,2,1800000000.0,bds,27112516.94532309
5710,masteri-centre-point,duong-nguyen-xien,phuong-long-thanh-my,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772604,772629,180175,95.0,3,7000000000.0,bds,73684210.5263158
5711,the-zenpark,duong-dong-du-1,xa-duong-xa,huyen-gia-lam,thanh-pho-ha-noi,151556,151480,148873,87.5,2,3400000000.0,bds,38857142.85714286
5712,hoang-huy-grand-tower,duong-so-dau,phuong-so-dau,quan-hong-bang,thanh-pho-hai-phong,195764,152793,152792,85.2,3,2300000000.0,bds,26995305.164319247
5716,celadon-city,duong-bo-bao-tan-thang,phuong-son-ky,quan-tan-phu,thanh-pho-ho-chi-minh,195545,184080,180175,71.0,2,3180000000.0,bds,44788732.3943662
5717,chung-cu-my-duc,duong-xo-viet-nghe-tinh,phuong-21,quan-binh-thanh,thanh-pho-ho-chi-minh,195524,184576,180175,95.0,2,3450000000.0,bds,36315789.473684214
5719,chung-cu-my-duc,duong-xo-viet-nghe-tinh,phuong-21,quan-binh-thanh,thanh-pho-ho-chi-minh,195524,184576,180175,65.0,2,2650000000.0,bds,40769230.76923077
5722,chung-cu-my-duc,duong-xo-viet-nghe-tinh,phuong-21,quan-binh-thanh,thanh-pho-ho-chi-minh,195524,184576,180175,60.0,2,2680000000.0,bds,44666666.666666664
5724,celadon-city,duong-n1,phuong-son-ky,quan-tan-phu,thanh-pho-ho-chi-minh,195545,184080,180175,112.0,3,4150000000.000001,bds,37053571.42857144
5726,riviera-point,duong-huynh-tan-phat,phuong-tan-phu,quan-7,thanh-pho-ho-chi-minh,195696,182215,180175,92.0,2,4100000000.0,bds,44565217.39130435
5729,fuji-residence,duong-do-xuan-hop,phuong-phuoc-long-b,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772609,772629,180175,56.0,2,1960000000.0,bds,35000000.0
5730,the-view-riviera-point,duong-huynh-tan-phat,phuong-tan-phu,quan-7,thanh-pho-ho-chi-minh,195696,182215,180175,148.0,3,7500000000.0,bds,50675675.675675675
5731,park-hill-premium-times-city,duong-minh-khai,phuong-vinh-tuy,quan-hai-ba-trung,thanh-pho-ha-noi,195334,149556,148873,76.0,2,4700000000.0,bds,61842105.2631579
5733,times-city,duong-minh-khai,phuong-vinh-tuy,quan-hai-ba-trung,thanh-pho-ha-noi,195334,149556,148873,83.0,2,4200000000.0,bds,50602409.638554215
5734,chung-cu-my-duc,duong-xo-viet-nghe-tinh,phuong-21,quan-binh-thanh,thanh-pho-ho-chi-minh,195524,184576,180175,45.0,1,2200000000.0,bds,48888888.88888889
5736,riviera-point,duong-nguyen-van-tuong,phuong-tan-phu,quan-7,thanh-pho-ho-chi-minh,195696,182215,180175,148.0,3,6900000000.0,bds,46621621.62162162
5738,the-pavilion-vinhomes-ocean-park,duong-ly-thanh-tong,xa-duong-xa,huyen-gia-lam,thanh-pho-ha-noi,151556,151480,148873,73.0,2,2790000000.0,bds,38219178.08219178
5740,the-art,duong-do-xuan-hop,phuong-phuoc-long-b,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772609,772629,180175,68.0,2,2800000000.0,bds,41176470.5882353
5742,saigon-pearl,duong-nguyen-huu-canh,phuong-22,quan-binh-thanh,thanh-pho-ho-chi-minh,195525,184576,180175,225.0,5,17000000000.0,bds,75555555.55555555
5743,ct2-viettel-trung-van,duong-to-huu,phuong-trung-van,quan-nam-tu-liem,thanh-pho-ha-noi,195378,150671,148873,76.0,2,2500000000.0,bds,32894736.842105262
5744,vinhomes-smart-city,nan,phuong-tay-mo,quan-nam-tu-liem,thanh-pho-ha-noi,195374,150671,148873,54.0,2,2800000000.0,bds,51851851.85185185
5749,fusion-suites-da-nang-beach,duong-vo-nguyen-giap,phuong-man-thai,quan-son-tra,thanh-pho-da-nang,357479,277906,277892,62.0,2,3200000000.0,bds,51612903.22580645
5757,opal-saigon-pearl,duong-nguyen-huu-canh,phuong-22,quan-binh-thanh,thanh-pho-ho-chi-minh,195525,184576,180175,160.0,4,13500000000.0,bds,84375000.0
5765,feliz-en-vista,duong-phan-van-dang,phuong-thanh-my-loi,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772620,772629,180175,85.0,2,6000000000.0,bds,70588235.29411764
5766,belleza-apartment,duong-pham-huu-lau,phuong-phu-my,quan-7,thanh-pho-ho-chi-minh,195698,182215,180175,124.0,3,3160000000.0,bds,25483870.967741936
5769,parkland-apartments,duong-xa-lo-ha-noi,phuong-an-phu,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772616,772629,180175,50.0,1,2900000000.0,bds,58000000.0
5772,eurowindow-river-park,duong-5,xa-dong-hoi,huyen-dong-anh,thanh-pho-ha-noi,151446,151363,148873,73.0,2,1720000000.0,bds,23561643.83561644
5773,trinity-tower,duong-ho-me-tri,phuong-nhan-chinh,quan-thanh-xuan,thanh-pho-ha-noi,195354,150965,148873,101.0,3,4200000000.0,bds,41584158.41584159
5774,green-stars,duong-pham-van-dong,phuong-co-nhue-1,quan-bac-tu-liem,thanh-pho-ha-noi,195395,149087,148873,102.0,3,4200000000.0,bds,41176470.5882353
5779,the-peak,nan,phuong-tan-phu,quan-7,thanh-pho-ho-chi-minh,195696,182215,180175,127.0,3,10200000000.0,bds,80314960.62992126
5783,the-pride,duong-to-huu,phuong-la-khe,quan-ha-dong,thanh-pho-ha-noi,195405,149779,148873,103.0,3,3200000000.0,bds,31067961.165048543
5784,vista-verde,duong-phan-van-dang,phuong-thanh-my-loi,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772620,772629,180175,83.0,2,4600000000.0,bds,55421686.746987954
5785,masteri-an-phu,duong-xa-lo-ha-noi,phuong-thao-dien,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772622,772629,180175,70.0,2,4300000000.0,bds,61428571.428571425
5786,celadon-city,duong-n4,phuong-son-ky,quan-tan-phu,thanh-pho-ho-chi-minh,195545,184080,180175,71.0,2,3050000000.0,bds,42957746.47887324
5787,carillon-7,duong-luong-minh-nguyet,phuong-tan-thoi-hoa,quan-tan-phu,thanh-pho-ho-chi-minh,195553,184080,180175,86.0,3,3400000000.0,bds,39534883.72093023
5788,royal-city,duong-nguyen-trai,phuong-thuong-dinh,quan-thanh-xuan,thanh-pho-ha-noi,195355,150965,148873,133.0,3,7880000000.0,bds,59248120.30075188
5790,chung-cu-my-duc,duong-xo-viet-nghe-tinh,phuong-21,quan-binh-thanh,thanh-pho-ho-chi-minh,195524,184576,180175,45.0,1,2000000000.0,bds,44444444.44444445
5796,green-valley,duong-ton-dat-tien,phuong-tan-phu,quan-7,thanh-pho-ho-chi-minh,195696,182215,180175,239.0,3,19500000000.0,bds,81589958.15899582
5798,chung-cu-the-nine,duong-pham-van-dong,phuong-mai-dich,quan-cau-giay,thanh-pho-ha-noi,195293,149252,148873,76.0,2,4590000000.0,bds,60394736.84210526
5799,fpt-city-da-nang,duong-vo-chi-cong,phuong-hoa-hai,quan-ngu-hanh-son,thanh-pho-da-nang,357487,277900,277892,70.0,2,1400000000.0,bds,20000000.0
5800,vinhomes-grand-park,nan,phuong-long-thanh-my,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772604,772629,180175,67.0,2,2400000000.0,bds,35820895.52238806
5801,trinity-tower,duong-ho-me-tri,phuong-nhan-chinh,quan-thanh-xuan,thanh-pho-ha-noi,195354,150965,148873,70.5,2,2500000000.0,bds,35460992.90780142
5804,lotus-garden,duong-trinh-dinh-thao,phuong-hoa-thanh,quan-tan-phu,thanh-pho-ho-chi-minh,195551,184080,180175,67.0,2,2300000000.0,bds,34328358.20895522
5805,one-verandah-mapletree,duong-bat-nan,phuong-thanh-my-loi,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772620,772629,180175,56.0,1,4650000000.0,bds,83035714.28571428
5806,royal-city,duong-nguyen-trai,phuong-thuong-dinh,quan-thanh-xuan,thanh-pho-ha-noi,195355,150965,148873,111.7,3,7780000000.0,bds,69650850.49239033
5807,river-panorama,duong-hoang-quoc-viet,phuong-phu-thuan,quan-7,thanh-pho-ho-chi-minh,195695,182215,180175,90.0,3,3500000000.0,bds,38888888.88888889
5808,can-ho-hausneo,duong-lien,phuong-phu-huu,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772606,772629,180175,49.0,1,1850000000.0,bds,37755102.04081633
5809,scenic-valley-1,duong-nguyen-van-linh,phuong-tan-phu,quan-7,thanh-pho-ho-chi-minh,195696,182215,180175,71.0,2,3800000000.0,bds,53521126.76056338
5827,an-gia-skyline,duong-hoang-quoc-viet,phuong-phu-thuan,quan-7,thanh-pho-ho-chi-minh,195695,182215,180175,107.0,3,3600000000.0,bds,33644859.81308411
5829,sky-garden-i,duong-pham-van-nghi,phuong-tan-phong,quan-7,thanh-pho-ho-chi-minh,195697,182215,180175,81.0,2,2970000000.0,bds,36666666.666666664
